event_id,year,method,p_seapar,coarse_smoothing,common_support_segment_id,reference_event_time,reference_magnitude,yearly_scale_q95_minus_q05,event_status,event_unavailable_reason,matching_window_days,magnitude_used_for_matching,matched_candidate_id,reconstructed_event_time,signed_timing_error_days,absolute_timing_error_days,success_5d,success_10d,success_15d,reconstructed_magnitude,signed_magnitude_error,absolute_magnitude_error,normalized_absolute_magnitude_error,magnitude_metric_status,magnitude_metric_reason,scenario_id
ERK_2022_E02,2022,B2_2022_coarse_0,1,0,2022_segment_1,2022-09-26,9.1590399999999992,16.804815000000001,matched,,15,False,REC_2022_P002,2022-10-08,12,12,False,False,True,4.4122390747070312,-4.7468009252929679,4.7468009252929679,0.28246671714582799,ok,,B2_2022_coarse_0
ERK_2023_E01,2023,B2_2023_coarse_1000,1,1000,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_1000
ERK_2023_E02,2023,B2_2023_coarse_1000,1,1000,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-08-06,6,6,False,True,True,8.849614143371582,-6.8770858566284172,6.8770858566284172,0.64499992226037051,ok,,B2_2023_coarse_1000
ERK_2023_E03,2023,B2_2023_coarse_1000,1,1000,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_1000
ERK_2023_E01,2023,B2_2023_coarse_300,1,300,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_300
ERK_2023_E02,2023,B2_2023_coarse_300,1,300,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-07-29,-2,2,True,True,True,9.4992952346801758,-6.2274047653198235,6.2274047653198235,0.58406651789052633,ok,,B2_2023_coarse_300
ERK_2023_E03,2023,B2_2023_coarse_300,1,300,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_300
ERK_2023_E01,2023,B2_2023_coarse_100,1,100,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_100
ERK_2023_E02,2023,B2_2023_coarse_100,1,100,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-07-29,-2,2,True,True,True,9.5722646713256836,-6.1544353286743156,6.1544353286743156,0.57722273522662781,ok,,B2_2023_coarse_100
ERK_2023_E03,2023,B2_2023_coarse_100,1,100,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_100
ERK_2023_E01,2023,B2_2023_coarse_30,1,30,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_30
ERK_2023_E02,2023,B2_2023_coarse_30,1,30,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-07-29,-2,2,True,True,True,9.5968589782714844,-6.1298410217285149,6.1298410217285149,0.57491604218850034,ok,,B2_2023_coarse_30
ERK_2023_E03,2023,B2_2023_coarse_30,1,30,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_30
ERK_2023_E01,2023,B2_2023_coarse_10,1,10,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_10
ERK_2023_E02,2023,B2_2023_coarse_10,1,10,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-07-29,-2,2,True,True,True,9.557708740234375,-6.1689912597656242,6.1689912597656242,0.57858793185468393,ok,,B2_2023_coarse_10
ERK_2023_E03,2023,B2_2023_coarse_10,1,10,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_10
ERK_2023_E01,2023,B2_2023_coarse_3,1,3,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_3
ERK_2023_E02,2023,B2_2023_coarse_3,1,3,2023_segment_1,2023-07-31,15.726699999999999,10.662149899999999,matched,,15,False,REC_2023_P001,2023-07-28,-3,3,True,True,True,10.004487991333008,-5.7222120086669914,5.7222120086669914,0.53668463324333793,ok,,B2_2023_coarse_3
ERK_2023_E03,2023,B2_2023_coarse_3,1,3,2023_segment_1,2023-09-01,10.2285,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_3
ERK_2023_E01,2023,B2_2023_coarse_1,1,1,2023_segment_1,2023-04-23,15.9877,10.662149899999999,missed_no_peak_within_15d,,15,False,,,,,False,False,False,,,,,unavailable,no_matched_reconstruction_event,B2_2023_coarse_1
