omitted_year,method_a,method_b,metric,metric_label,unit,favorable_direction,mean_advantage_for_method_a_after_omission,n_paired_years_retained
2025,linear_interpolation,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.038448584381199434,6
2019,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.43407551059042099,6
2020,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.26771121226529049,6
2021,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.26427116136665069,6
2022,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.41770322565576651,6
2023,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.38441102435570951,6
2024,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.3875169057487417,6
2025,linear_interpolation,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,0.41963117230407687,6
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-101.46305162636448,6
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-50.297236620664684,6
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-70.551267238239532,6
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-50.864970643599918,6
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-58.673220837394489,6
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-64.6904600367249,6
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,-31.260654708991449,6
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,0.5,6
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,-0.25,6
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,-2.0833333333333335,6
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,1.75,6
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,-0.41666666666666669,6
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,0.083333333333333329,6
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_date_error_days,absolute global-peak date error,days,lower,-1.0833333333333333,6
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.9000863980611165,6
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.9581723164876301,6
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,4.8170871686299641,6
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,6.394445732371012,6
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,7.2387785911560059,6
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.856608068084717,6
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,5.8518505048116047,6
2019,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.058670389440951966,6
2020,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.03158762315457158,6
2021,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.042033362425363263,6
2022,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.027980432734567767,6
2023,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.030643222880476065,6
2024,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.037711101717849395,6
2025,timesat_smoothing_spline,timesat_double_logistic,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,-0.026630789147998751,6
2019,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.70092627967706145,6
2020,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.710097152682997,6
2021,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.69732485919251752,6
2022,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.69493192795427128,6
2023,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.87239072828384367,6
2024,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.76802728137000342,6
2025,timesat_smoothing_spline,timesat_double_logistic,mae,point-wise MAE,ug_L,lower,0.74657410871111296,6
2019,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.27098916403213885,6
2020,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.25997443654804747,6
2021,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.21094742840278982,6
2022,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.27339536962232591,6
2023,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.33172761524717814,6
2024,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.23935289653450073,6
2025,timesat_smoothing_spline,timesat_double_logistic,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.2712060494602303,6
2019,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.030392708552846242,6
2020,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.021373649948117055,6
2021,timesat_smoothing_spline,timesat_double_logistic,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.019884645328555457,6
