method,duration_days,observations_removed,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,3,primary_controlled_consecutive_gap,rmse,point-wise RMSE,ug_L,lower,4.5945487664362679,3.1292227234188514,6.2540584692598484,7,7,362,0,362,0,0.0846403703328686,11.103498311786192,0.0403846153846152,0.95333333333333325,3,3,22,85
linear_interpolation,20,4,primary_controlled_consecutive_gap,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,183.25584363550908,124.75567555440387,255.81974429348094,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,absolute_peak_date_error_days,absolute global-peak date error,days,lower,37.266218340883263,3.9198711063372715,92.011974034465041,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10995916579826669,0.081445399525494372,0.1438549978332159,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.81859009730246923,0.26924042422833649,1.4482970114957743,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22003209786802994,0.18187999047193001,0.25619792148937409,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.65230039384174721,0.33214285714285718,0.93377192982456148,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.68945578231292515,0.3884353741496599,0.97517006802721085,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.51445578231292521,0.14285714285714285,0.8170068027210885,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
linear_interpolation,20,4,primary_controlled_consecutive_gap,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84010583416357643,0.8013845915617368,0.87429809670372438,7,7,303,0,303,0,0.12464337446452591,10.891083354445644,0.042000000000000003,0.91276595744680844,4,4,22,43
