omitted_year,method,metric,metric_label,unit,favorable_direction,equal_year_estimate_after_omission,n_years_retained
2024,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,24.694795455932621,6
2025,timesat_smoothing_spline,absolute_peak_magnitude_error,absolute global-peak magnitude error,ug_L,lower,19.311609517415366,6
2019,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.099805392398342199,6
2020,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.12069817290822155,6
2021,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11679379412235448,6
2022,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.1111237215885723,6
2023,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10907188087340186,6
2024,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.12055776862194328,6
2025,timesat_smoothing_spline,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11511411843559576,6
2019,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.1561421934637646,6
2020,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.3472501273735769,6
2021,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.4041016442933834,6
2022,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.4296600191194613,6
2023,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.4656913529437188,6
2024,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.3467105718026606,6
2025,timesat_smoothing_spline,mae,point-wise MAE,ug_L,lower,2.0336845413183848,6
2019,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0211866278969515,6
2020,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0484993726564327,6
2021,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1468908479789519,6
2022,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.81269823280178244,6
2023,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1894448324672782,6
2024,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.0886387654087606,6
2025,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.96534577010488098,6
2019,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21643971446877841,6
2020,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22841191838210184,6
2021,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2372594913181916,6
2022,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21342930191814688,6
2023,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22720164910252247,6
2024,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.22229551861433694,6
2025,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.21546798551563148,6
2019,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2020,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2021,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2022,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2023,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2024,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.5,6
2025,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.66666666666666663,6
2019,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2020,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2021,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2022,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2023,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2024,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.66666666666666663,6
2025,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.83333333333333337,6
2019,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2020,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2021,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.33333333333333331,6
2022,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2023,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.33333333333333331,6
2024,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.33333333333333331,6
2025,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5,6
2019,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.83458810572575104,6
2020,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.82849130634773027,6
2021,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.81716305618705387,6
2022,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.83124232829135947,6
2023,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.82613442883219035,6
2024,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.83225968516691984,6
2025,timesat_smoothing_spline,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.84178389592806069,6
2019,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.2612663926979444,6
2020,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.8410731980050619,6
2021,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,5.0021095448582331,6
2022,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.7237942732839286,6
2023,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,5.1572229059690313,6
2024,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.8912086779245678,6
2025,timesat_smoothing_spline,rmse,point-wise RMSE,ug_L,lower,4.1702586080187354,6
