method,deletion_fraction,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,observations_remaining_observed_minimum,observations_remaining_observed_maximum,resulting_observation_density_observed_minimum,resulting_observation_density_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum,n_delete_observed_minimum,n_delete_observed_maximum
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.62142857142857133,0.29571428571428571,0.8857142857142859,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.49857142857142861,0.14857142857142858,0.80857142857142861,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.72638578238153839,0.67639703046002098,0.78245965407729556,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.20000000000000001,primary_controlled_random_deletion,rmse,point-wise RMSE,ug_L,lower,5.4744236547001304,3.9826912176493212,6.976262346400774,7,7,700,0,700,0,22,45,0.098654708520179199,0.15537848605577681,15,72,5,11
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,179.68102020339686,118.54615778073115,276.01024849941945,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,absolute_peak_date_error_days,absolute global-peak date error,days,lower,53.612142857142864,13.338571428571429,107.27642857142857,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.10958326902902157,0.075564551785722855,0.15902576316320613,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.3207782836479984,0.80524620060521734,1.8487691150609378,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26536299693100107,0.23972246765363975,0.29536071730827923,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
timesat_double_logistic,0.29999999999999982,primary_controlled_random_deletion,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.59428571428571431,0.23978571428571444,0.87857142857142867,7,7,700,0,700,0,19,40,0.085201793721972896,0.1354581673306772,15,85,8,16
