year,method_a,method_b,metric,metric_label,unit,favorable_direction,method_a_value,method_b_value,raw_difference_a_minus_b,advantage_for_method_a
2019,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.1084168127021696,1.1455846819333302,-0.037167869231160555,0.037167869231160555
2020,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.17947924654533451,0.98170821337644243,-0.80222896683110789,0.80222896683110789
2021,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0,0.39135936144132732,-0.39135936144132732,0.39135936144132732
2022,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,2.3411147340806786,2.3965150525043435,-0.055400318423664885,0.055400318423664885
2023,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0,0.13603545451136859,-0.13603545451136859,0.13603545451136859
2024,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.52559271513286043,0.74087185686247437,-0.21527914172961393,0.21527914172961393
2025,linear_interpolation,timesat_smoothing_spline,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,1.4266722594192156,1.480629828685752,-0.053957569266536387,0.053957569266536387
2019,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26288729503827002,0.26186729250703922,0.0010200025312308014,-0.0010200025312308014
2020,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.1440014905395498,0.19003406902709849,-0.046032578487548687,0.046032578487548687
2021,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.092279945871914099,0.13694863141055991,-0.044668685538645808,0.044668685538645808
2022,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2758177999996948,0.27992976781082851,-0.0041119678111337099,0.0041119678111337099
2023,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.1720799384738452,0.1972956847045749,-0.025215746230729696,0.025215746230729696
2024,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2113979799410835,0.2267324676336879,-0.015334487692604398,0.015334487692604398
2025,linear_interpolation,timesat_smoothing_spline,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.26577856783337478,0.26769766622592078,-0.0019190983925460037,0.0019190983925460037
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,0,1,1
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,1,1,0,0
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,1,1,0,0
2025,linear_interpolation,timesat_smoothing_spline,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0,0,0,0
2019,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,0,1,1
2020,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2021,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2022,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0,0,0,0
2023,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
2024,linear_interpolation,timesat_smoothing_spline,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,1,1,0,0
