method,duration_days,activity_class,analysis_role,metric,metric_label,unit,favorable_direction,equal_year_estimate,cluster_bootstrap_ci_lower,cluster_bootstrap_ci_upper,n_years_in_stratum,n_years_metric_available,n_scenarios_total,n_reconstruction_failures_total,n_metric_available_total,n_metric_unavailable_total,a_gap_observed_minimum,a_gap_observed_maximum,window_midpoint_relative_position_observed_minimum,window_midpoint_relative_position_observed_maximum,observations_removed_observed_minimum,observations_removed_observed_maximum,resulting_maximum_internal_gap_days_observed_minimum,resulting_maximum_internal_gap_days_observed_maximum
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.2857142857142857,1,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85083823096913147,0.80572912599511581,0.89694504773493799,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,20,medium,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.542222481390831,3.0032638134397063,6.3128949051909755,7,7,508,0,508,0,0.41040908375994273,1.5305573773522372,0.044680851063829602,0.95799999999999996,1,7,22,85
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,218.31468543535829,153.41055591468873,293.71672262842657,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,49.19727683238019,10.916831740199697,104.5227258945559,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.13281194611668151,0.097784219392123575,0.17273041547383558,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.91851811038231845,0.36607848367544626,1.5597713455156454,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.2465369814652825,0.21444167295973818,0.28000221867583341,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.46879682698250097,0.19720214259711893,0.73481430059007291,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.57793303960708564,0.28118466898954703,0.84266573803859701,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.41602497197184007,0.14285714285714285,0.69930833636694578,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.79418609958145348,0.76959243853294435,0.82026204899982136,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,high,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,5.2278224382184764,3.775653502521402,6.6746161470603882,7,7,492,0,492,0,2.5550645224131427,15.484027686454541,0.059615384615384501,0.92200000000000004,1,9,31,63
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,161.36278441970595,90.805418209899941,242.93193647044785,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.571428571428569,1.5714285714285714,91.285714285714292,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.096157471883729029,0.057894458492928569,0.13737305509925943,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,normalized_absolute_peak_magnitude_error,normalized absolute global-peak magnitude error,fraction_Q95_minus_Q05,lower,0.79732510969717996,0.2352649360483105,1.4325041344391389,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,nrmse,point-wise nRMSE,fraction_Q95_minus_Q05,lower,0.20463032057663974,0.15741780753518247,0.24830446254222704,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_10d,global-peak timing success <=10 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_15d,global-peak timing success <=15 d,fraction,higher,0.7142857142857143,0.42857142857142855,1,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,peak_timing_success_5d,global-peak timing success <=5 d,fraction,higher,0.5714285714285714,0.14285714285714285,0.8571428571428571,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,pearson_correlation,daily trajectory Pearson correlation,correlation,higher,0.85972388517650677,0.81404577700406955,0.90732762579477266,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,low,protocol_visualization_stratum_continuous_a_gap_primary,rmse,point-wise RMSE,ug_L,lower,4.357420170000359,2.7771993682568943,6.083661904380806,7,7,492,0,492,0,0.048636719550354902,0.74625426404808992,0.066810344827586202,0.94038461538461515,1,11,31,60
linear_interpolation,30,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_integral_error,absolute common-support integral error,ug_day_L,lower,193.8415189242242,112.53162369990842,286.46698189868914,7,7,491,0,491,0,0.74916973358253014,2.5541162200317595,0.065957446808510498,0.93799999999999994,1,11,31,85
linear_interpolation,30,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_peak_date_error_days,absolute global-peak date error,days,lower,34.642271662763463,1.6428571428571428,91.391100702576097,7,7,491,0,491,0,0.74916973358253014,2.5541162200317595,0.065957446808510498,0.93799999999999994,1,11,31,85
linear_interpolation,30,medium,protocol_visualization_stratum_continuous_a_gap_primary,absolute_relative_integral_error,absolute relative common-support integral error,fraction,lower,0.11069628464654037,0.077064966677819605,0.1465769403474077,7,7,491,0,491,0,0.74916973358253014,2.5541162200317595,0.065957446808510498,0.93799999999999994,1,11,31,85
